Land,Glasvezel,Overig,Kabel,DSL
1. Zwitserland,10.83,0.77,12.35,23.53
2. Frankrijk,15.34,0.77,6.78,22.68
3. Noorwegen,26.74,2.48,10.72,4.62
4. Denemarken,17.5,0.79,15.2,10.73
5. Duitsland,2.32,0.11,10.49,30.49
6. Nederland,9.21,0,20.08,13.86
7. Zuid-Korea,36.49,0,5.58,0.98
8. Canada,9.18,2.45,20.43,9.5
9. België,0.67,0.11,21.69,18.57
10. VK,1.92,0.04,8.08,30.88
11. Portugal,22.25,2.84,11.69,3.62
12. Zweden,30.29,0.14,6.5,3.43
13. Griekenland,0.08,0.05,0,39.75
14. IJsland,26.68,0.08,0.24,11.89
15. Luxemburg,18.71,0.22,3.5,14.83
16. VS,5.98,1.33,23.57,5.62
17. Tsjechië,6.74,14.42,5.74,8.95
18. Australië,7.68,1.84,8.15,17.74
19. Nieuw-Zeeland,21.14,4.74,0.92,7.86
20. Japan,27.37,0,5.25,0.92
21. Hongarije,10.2,1.39,15.73,6.16
22. Spanje,24.49,0.6,4.54,3.84
23. Finland,19.13,0.35,8.82,5.08
24. Estland,14.82,3.13,7,7.78
25. Slowakije,10.98,8.27,3.23,8.69
26. Slovenië,13.67,0.37,8.69,8.03
27. Ierland,4.99,1.28,7.5,16.66
28. Italië,3.03,17.79,0,9.36
29. Oostenrijk,1.29,0.25,10.67,17.01
30. Litouwen,21.83,1.67,0.71,4.3
31. Israël,2.68,0,8.66,16.89
32. Letland,18.79,1.44,0.84,5.43
33. Polen,6.32,3.49,7.54,4.46
34. Turkije,4.8,0.48,1.56,13.24
35. Costa Rica,2.71,0.13,12.4,4.2
36. Chili,7.82,1.09,9.18,1.22
37. Mexico,5.03,0.35,7.01,4.88
38. Colombia,2.66,0.84,9.66,2.58
1. Zuid-Korea,36.49,0,5.58,0.98
2. Zweden,30.29,0.14,6.5,3.43
3. Japan,27.37,0,5.25,0.92
4. Noorwegen,26.74,2.48,10.72,4.62
5. IJsland,26.68,0.08,0.24,11.89
6. Spanje,24.49,0.6,4.54,3.84
7. Portugal,22.25,2.84,11.69,3.62
8. Litouwen,21.83,1.67,0.71,4.3
9. Nieuw-Zeeland,21.14,4.74,0.92,7.86
10. Finland,19.13,0.35,8.82,5.08
11. Letland,18.79,1.44,0.84,5.43
12. Luxemburg,18.71,0.22,3.5,14.83
13. Denemarken,17.5,0.79,15.2,10.73
14. Frankrijk,15.34,0.77,6.78,22.68
15. Estland,14.82,3.13,7,7.78
16. Slovenië,13.67,0.37,8.69,8.03
17. Slowakije,10.98,8.27,3.23,8.69
18. Zwitserland,10.83,0.77,12.35,23.53
19. Hongarije,10.2,1.39,15.73,6.16
20. Nederland,9.21,0,20.08,13.86
21. Canada,9.18,2.45,20.43,9.5
22. Chili,7.82,1.09,9.18,1.22
23. Australië,7.68,1.84,8.15,17.74
24. Tsjechië,6.74,14.42,5.74,8.95
25. Polen,6.32,3.49,7.54,4.46
26. VS,5.98,1.33,23.57,5.62
27. Mexico,5.03,0.35,7.01,4.88
28. Ierland,4.99,1.28,7.5,16.66
29. Turkije,4.8,0.48,1.56,13.24
30. Italië,3.03,17.79,0,9.36
31. Costa Rica,2.71,0.13,12.4,4.2
32. Israël,2.68,0,8.66,16.89
33. Colombia,2.66,0.84,9.66,2.58
34. Duitsland,2.32,0.11,10.49,30.49
35. VK,1.92,0.04,8.08,30.88
36. Oostenrijk,1.29,0.25,10.67,17.01
37. België,0.67,0.11,21.69,18.57
38. Griekenland,0.08,0.05,0,39.75